StudyID,RecordID,Virus,Virus.Order,Virus.Family,Virus.Genus,VirusSpecies,Bat_Name,HostFamily,HostGenus,HostSpecies,Genus_spp,N_Individuals,DetectionMethod,SampleType,N_Sample_Pos,N_Sample_Tested,SubsequentTest,Isolate,Sequence,Notes,FirstAuthor,Title,Year,Sampling_Notes,Year_Sampled,MeanYear,Source,N_spp,N_Bats,N_Killed,Prop_Killed,N_Samples,No_Novel_Viruses,N_Total_Viruses,ViralFamiliesTest,General_Notes,Full_Reference,DetMethCat,SampleCat,KillNum,SampPosNum,PrevPos
GW07,11,BatGHV-1,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 1,Serotine Bat,Vespertilionidae,Eptesicus,serotinus,Eptesicus_serotinus,4,PCR,lung tissue,1,4,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.25
GW07,12,BatGHV-1,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 1,Serotine Bat,Vespertilionidae,Eptesicus,serotinus,Eptesicus_serotinus,4,PCR,lung tissue,1,4,1,NA,1,secondary PCR with virus-specific primers; virus-positive after secondary PCR screening; (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.25
GW07,13,BatGHV-2,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 2,Greater Mouse-eared Bat,Vespertilionidae,Myotis,myotis,Myotis_myotis,1,PCR,lung tissue,1,1,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,1
GW07,14,BatGHV-2,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 2,Greater Mouse-eared Bat,Vespertilionidae,Myotis,myotis,Myotis_myotis,1,PCR,lung tissue,1,1,1,NA,1,secondary PCR with virus-specific primers; virus-positive after secondary PCR screening; (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,1
GW07,15,BatGHV-2,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 2,Natterer's Bat,Vespertilionidae,Myotis,nattereri,Myotis_nattereri,4,PCR,lung tissue,2,4,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.5
GW07,16,BatGHV-2,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 2,Natterer's Bat,Vespertilionidae,Myotis,nattereri,Myotis_nattereri,4,PCR,lung tissue,2,4,1,NA,1,secondary PCR with virus-specific primers; virus-positive after primary PCR screening and secondary PCR screening (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.5
GW07,17,BatGHV-3,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 3,Greater Mouse-eared Bat,Vespertilionidae,Myotis,myotis,Myotis_myotis,1,PCR,lung tissue,1,1,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,1
GW07,18,BatGHV-3,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 3,Greater Mouse-eared Bat,Vespertilionidae,Myotis,myotis,Myotis_myotis,1,PCR,lung tissue,1,1,1,NA,1,secondary PCR with virus-specific primers; virus-positive after secondary PCR screening; (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,1
GW07,19,BatGHV-3,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 3,Natterer's Bat,Vespertilionidae,Myotis,nattereri,Myotis_nattereri,4,PCR,lung tissue,1,4,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.25
GW07,20,BatGHV-3,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 3,Natterer's Bat,Vespertilionidae,Myotis,nattereri,Myotis_nattereri,4,PCR,lung tissue,1,4,1,NA,1,secondary PCR with virus-specific primers; virus-positive after secondary PCR screening; (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.25
GW07,21,BatGHV-3,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 3,Noctule Bat,Vespertilionidae,Nyctalus,noctula,Nyctalus_noctula,2,PCR,lung tissue,1,2,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.5
GW07,22,BatGHV-3,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 3,Noctule Bat,Vespertilionidae,Nyctalus,noctula,Nyctalus_noctula,2,PCR,lung tissue,1,2,1,NA,1,secondary PCR with virus-specific primers; virus-positive after primary PCR screening and secondary PCR screening (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.5
GW07,23,BatGHV-4,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 4,Natterer's Bat,Vespertilionidae,Myotis,nattereri,Myotis_nattereri,4,PCR,lung tissue,1,4,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.25
GW07,24,BatGHV-4,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 4,Natterer's Bat,Vespertilionidae,Myotis,nattereri,Myotis_nattereri,4,PCR,lung tissue,1,4,1,NA,1,secondary PCR with virus-specific primers; virus-positive after secondary PCR screening; (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.25
GW07,25,BatGHV-4,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 4,Noctule Bat,Vespertilionidae,Nyctalus,noctula,Nyctalus_noctula,2,PCR,lung tissue,1,2,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.5
GW07,26,BatGHV-4,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 4,Noctule Bat,Vespertilionidae,Nyctalus,noctula,Nyctalus_noctula,2,PCR,lung tissue,1,2,1,NA,1,secondary PCR with virus-specific primers; virus-positive after primary PCR screening and secondary PCR screening (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.5
GW07,27,BatGHV-5,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 5,Nathusius' Pipistrelle,Vespertilionidae,Pipistrellus,nathusii,Pipistrellus_nathusii,1,PCR,lung tissue,1,1,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,1
GW07,28,BatGHV-5,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 5,Nathusius' Pipistrelle,Vespertilionidae,Pipistrellus,nathusii,Pipistrellus_nathusii,1,PCR,lung tissue,1,1,1,NA,1,secondary PCR with virus-specific primers; virus-positive after primary PCR screening and secondary PCR screening (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,1
GW07,29,BatGHV-6,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 6,Common Pipistrelle,Vespertilionidae,Pipistrellus,pipistrellus,Pipistrellus_pipistrellus,9,PCR,lung tissue,2,9,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.222222222
GW07,30,BatGHV-6,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 6,Common Pipistrelle,Vespertilionidae,Pipistrellus,pipistrellus,Pipistrellus_pipistrellus,9,PCR,lung tissue,2,9,1,NA,1,secondary PCR with virus-specific primers; virus-positive after primary PCR screening and secondary PCR screening (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.222222222
GW07,31,BatGHV-7,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 7,Brown Big-eared Bat,Vespertilionidae,Plecotus,auritus,Plecotus_auritus,2,PCR,lung tissue,1,2,0,NA,1,Bat spp. confirmed by cytB gene; initial PCR used DPOL gene sequence,"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.5
GW07,32,BatGHV-7,Herpesvirales,Herpesviridae,NA,Bat gammaherpesvirus 7,Brown Big-eared Bat,Vespertilionidae,Plecotus,auritus,Plecotus_auritus,2,PCR,lung tissue,1,2,1,NA,1,secondary PCR with virus-specific primers; virus-positive after primary PCR screening and secondary PCR screening (assumed same # of samples were positive for secondary screening),"Wibbelt, G",Discovery of herpesviruses in bats,2007,"free-ranging, moribund, dead European bats collected; necropsy; histopathology of major organs",NA,NA,wild-caught; already dead,7,25,0,0,NA,8,8,1,Total samples not explicitly stated,"Wibbelt, Gudrun, Andreas Kurth, Nezlisah Yasmum, Michael Bannert, Sabine Nagel, Andreas Nitsche, and Bernhard Ehlers. ""Discovery of herpesviruses in bats.""_Journal of General Virology_88, no. 10 (2007): 2651-2655.",Molecular,Tissue,0,1,0.5
MM07,33,Bat SARS-like-CoV,Nidovirales,Coronaviridae,Betacoronavirus,Bat-SARS-like-CoV ,Short-palated Fruit Bat,Pteropodidae,Casinycteris,argynnis,Casinycteris_argynnis,3,ELISA,serum,0,3,0,NA,NA,SARS-CoV ELISA,"M_ller, M",Coronavirus antibodies in African bat species,2007,"mist net, anesthetized, exsanguinated by cardiac puncture",1986-1999,1992,wild-caught,26,705,705,1,705,0,1,1,"Total bats not explicitly stated; N=248 (1986-1989), South Africa; N=457 (1995-1999), DRC","M_ller, Marcel A., Janusz T. Paweska, Patricia A. Leman, Christian Drosten, Klaus Grywna, Alan Kemp, Leo Braack, Karen Sonnenberg, Matthias Niedrig, and Robert Swanepoel. ""Coronavirus antibodies in African bat species.""Emerging infectious diseases_13, no. 9 (2007): 1367.",Serology,Blood,1,0,0
